,ID,lat,long,Sea_level.mm,C,year
2989,245,33.72,-118.272,6997,N,1928
1437,225,55.332,-131.625,7068,N,1928
6420,224,38.782,-75.12,NA,N,1928
4039,246,30.403,-87.21,6908,N,1928
6234,148,39.267,-76.578,6849,N,1928
6749,180,39.355,-74.418,6797,N,1928
3129,256,32.867,-117.257,6956,N,1928
127,155,21.307,-157.867,6934,N,1928
5194,234,32.782,-79.925,6866,N,1928
7931,288,43.08,-70.742,6910,N,1928
6555,135,39.933,-75.142,6789,N,1928
4536,188,24.555,-81.807,7007,N,1928
5694,299,36.947,-76.33,6820,N,1928
372,300,19.73,-155.055,6844,N,1928
4777,270,29.233,-81.0,6914,N,1928
7022,12,40.7,-74.013,6816,N,1928
3240,158,32.713,-117.173,6942,N,1928
2489,10,37.807,-122.465,6921,N,1928
8031,183,43.657,-70.247,6962,N,1928
5013,112,30.672,-81.465,NA,N,1928
1980,265,46.207,-123.768,6966,N,1928
7841,235,42.353,-71.053,6921,N,1928
2490,10,37.807,-122.465,6911,N,1929
6421,224,38.782,-75.12,NA,N,1929
5195,234,32.782,-79.925,6871,N,1929
3241,158,32.713,-117.173,6965,N,1929
5014,112,30.672,-81.465,NA,N,1929
7023,12,40.7,-74.013,6831,N,1929
6750,180,39.355,-74.418,6803,N,1929
373,300,19.73,-155.055,6875,N,1929
4875,316,30.393,-81.432,6948,N,1929
4537,188,24.555,-81.807,7022,N,1929
1844,127,47.602,-122.338,6924,N,1929
6121,311,38.983,-76.48,6783,N,1929
3670,161,29.31,-94.793,6960,N,1929
8032,183,43.657,-70.247,6955,N,1929
128,155,21.307,-157.867,6949,N,1929
4778,270,29.233,-81.0,6930,N,1929
5695,299,36.947,-76.33,6833,N,1929
4040,246,30.403,-87.21,6995,N,1929
3130,256,32.867,-117.257,6967,N,1929
6235,148,39.267,-76.578,6857,N,1929
1438,225,55.332,-131.625,7012,N,1929
1981,265,46.207,-123.768,6853,N,1929
6556,135,39.933,-75.142,6764,N,1929
7932,288,43.08,-70.742,6906,N,1929
7842,235,42.353,-71.053,6928,N,1929
2990,245,33.72,-118.272,7012,N,1929
2991,245,33.72,-118.272,7049,N,1930
5696,299,36.947,-76.33,6833,N,1930
5196,234,32.782,-79.925,6861,N,1930
7933,288,43.08,-70.742,6901,N,1930
4876,316,30.393,-81.432,6959,N,1930
374,300,19.73,-155.055,6911,N,1930
4779,270,29.233,-81.0,6917,N,1930
1439,225,55.332,-131.625,7059,N,1930
3131,256,32.867,-117.257,6973,N,1930
4538,188,24.555,-81.807,7031,N,1930
129,155,21.307,-157.867,6984,N,1930
6557,135,39.933,-75.142,6731,N,1930
6122,311,38.983,-76.48,6775,N,1930
3671,161,29.31,-94.793,6869,N,1930
1845,127,47.602,-122.338,6982,N,1930
3242,158,32.713,-117.173,6978,N,1930
7024,12,40.7,-74.013,6820,N,1930
4041,246,30.403,-87.21,6899,N,1930
6236,148,39.267,-76.578,6845,N,1930
6422,224,38.782,-75.12,NA,N,1930
6751,180,39.355,-74.418,6810,N,1930
5015,112,30.672,-81.465,NA,N,1930
2491,10,37.807,-122.465,6965,N,1930
8033,183,43.657,-70.247,6951,N,1930
1982,265,46.207,-123.768,6898,N,1930
8242,332,44.903,-66.982,6879,N,1930
7843,235,42.353,-71.053,6925,N,1930
7844,235,42.353,-71.053,6975,N,1931
2992,245,33.72,-118.272,7029,N,1931
130,155,21.307,-157.867,6996,N,1931
6237,148,39.267,-76.578,6873,N,1931
1983,265,46.207,-123.768,6925,N,1931
7571,351,41.505,-71.327,6949,N,1931
3132,256,32.867,-117.257,6975,N,1931
8243,332,44.903,-66.982,6916,N,1931
3243,158,32.713,-117.173,6983,N,1931
4877,316,30.393,-81.432,6910,N,1931
6558,135,39.933,-75.142,6775,N,1931
1440,225,55.332,-131.625,7126,N,1931
7934,288,43.08,-70.742,6948,N,1931
5935,360,38.873,-77.022,6757,N,1931
1846,127,47.602,-122.338,6988,N,1931
4042,246,30.403,-87.21,6880,N,1931
4780,270,29.233,-81.0,6871,N,1931
6123,311,38.983,-76.48,6794,N,1931
2492,10,37.807,-122.465,6935,N,1931
375,300,19.73,-155.055,6952,N,1931
5197,234,32.782,-79.925,6832,N,1931
8034,183,43.657,-70.247,6984,N,1931
5697,299,36.947,-76.33,6864,N,1931
6752,180,39.355,-74.418,6865,N,1931
4539,188,24.555,-81.807,6989,N,1931
6423,224,38.782,-75.12,NA,N,1931
7025,12,40.7,-74.013,6865,N,1931
3672,161,29.31,-94.793,6808,N,1931
5016,112,30.672,-81.465,NA,N,1931
2993,245,33.72,-118.272,7006,N,1932
7273,362,40.793,-73.782,6943,N,1932
2493,10,37.807,-122.465,6950,N,1932
1441,225,55.332,-131.625,7100,N,1932
4043,246,30.403,-87.21,6946,N,1932
4781,270,29.233,-81.0,6913,N,1932
6559,135,39.933,-75.142,6794,N,1932
5198,234,32.782,-79.925,6882,N,1932
7572,351,41.505,-71.327,6959,N,1932
6424,224,38.782,-75.12,NA,N,1932
3244,158,32.713,-117.173,6976,N,1932
5698,299,36.947,-76.33,6876,N,1932
8244,332,44.903,-66.982,6926,N,1932
1984,265,46.207,-123.768,6966,N,1932
6238,148,39.267,-76.578,6884,N,1932
1847,127,47.602,-122.338,6994,N,1932
4878,316,30.393,-81.432,6947,N,1932
3133,256,32.867,-117.257,6954,N,1932
131,155,21.307,-157.867,6991,N,1932
7026,12,40.7,-74.013,6862,N,1932
5017,112,30.672,-81.465,NA,N,1932
8035,183,43.657,-70.247,6993,N,1932
3673,161,29.31,-94.793,6880,N,1932
7845,235,42.353,-71.053,6967,N,1932
6753,180,39.355,-74.418,6860,N,1932
4540,188,24.555,-81.807,7034,N,1932
6124,311,38.983,-76.48,6821,N,1932
4676,363,25.768,-80.132,6933,N,1932
5936,360,38.873,-77.022,6786,N,1932
7935,288,43.08,-70.742,6951,N,1932
376,300,19.73,-155.055,NA,N,1932
6754,180,39.355,-74.418,6897,N,1933
6425,224,38.782,-75.12,NA,N,1933
4044,246,30.403,-87.21,6985,N,1933
5937,360,38.873,-77.022,6823,N,1933
6560,135,39.933,-75.142,6862,N,1933
1848,127,47.602,-122.338,6998,N,1933
6239,148,39.267,-76.578,6923,N,1933
5699,299,36.947,-76.33,6936,N,1933
2220,378,41.745,-124.182,7058,N,1933
8245,332,44.903,-66.982,6939,N,1933
1985,265,46.207,-123.768,6991,N,1933
7936,288,43.08,-70.742,6970,N,1933
6866,366,40.467,-74.008,6892,N,1933
6125,311,38.983,-76.48,6855,N,1933
4541,188,24.555,-81.807,7067,N,1933
377,300,19.73,-155.055,NA,N,1933
3674,161,29.31,-94.793,6935,N,1933
4782,270,29.233,-81.0,NA,N,1933
5018,112,30.672,-81.465,NA,N,1933
7027,12,40.7,-74.013,6892,N,1933
8036,183,43.657,-70.247,7014,N,1933
3245,158,32.713,-117.173,6921,N,1933
7573,351,41.505,-71.327,6981,N,1933
7846,235,42.353,-71.053,6993,N,1933
2494,10,37.807,-122.465,6904,N,1933
2901,377,34.008,-118.5,6849,N,1933
3134,256,32.867,-117.257,6907,N,1933
4879,316,30.393,-81.432,7008,N,1933
132,155,21.307,-157.867,6978,N,1933
7678,367,41.523,-70.672,6910,N,1933
2994,245,33.72,-118.272,6951,N,1933
1442,225,55.332,-131.625,7086,N,1933
4677,363,25.768,-80.132,6966,N,1933
7274,362,40.793,-73.782,6976,N,1933
5199,234,32.782,-79.925,6927,N,1933
7275,362,40.793,-73.782,6932,N,1934
1849,127,47.602,-122.338,7008,N,1934
1693,384,48.547,-123.01,7005,N,1934
4542,188,24.555,-81.807,7023,N,1934
6240,148,39.267,-76.578,6884,N,1934
6561,135,39.933,-75.142,6802,N,1934
2995,245,33.72,-118.272,6996,N,1934
4880,316,30.393,-81.432,6956,N,1934
3135,256,32.867,-117.257,6935,N,1934
4783,270,29.233,-81.0,NA,N,1934
6126,311,38.983,-76.48,6807,N,1934
8246,332,44.903,-66.982,6897,N,1934
378,300,19.73,-155.055,NA,N,1934
7847,235,42.353,-71.053,6936,N,1934
2221,378,41.745,-124.182,7095,N,1934
7574,351,41.505,-71.327,6926,N,1934
8037,183,43.657,-70.247,6968,N,1934
3246,158,32.713,-117.173,6958,N,1934
7028,12,40.7,-74.013,6847,N,1934
5019,112,30.672,-81.465,NA,N,1934
7679,367,41.523,-70.672,6845,N,1934
3675,161,29.31,-94.793,6851,N,1934
4045,246,30.403,-87.21,6906,N,1934
5200,234,32.782,-79.925,6863,N,1934
133,155,21.307,-157.867,6943,N,1934
2902,377,34.008,-118.5,6899,N,1934
1986,265,46.207,-123.768,6993,N,1934
1443,225,55.332,-131.625,7105,N,1934
5938,360,38.873,-77.022,6758,N,1934
6867,366,40.467,-74.008,6846,N,1934
4678,363,25.768,-80.132,6928,N,1934
6755,180,39.355,-74.418,6840,N,1934
